date,doy,electron_activity,proton_activity,flare,cme,missing_data,missing_pct,units
2018-02-24,55,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-25,56,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-26,57,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-27,58,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-28,59,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-01,60,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-02,61,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-03,62,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-04,63,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-05,64,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-06,65,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-07,66,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-08,67,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-09,68,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-10,69,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-11,70,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-12,71,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-13,72,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-14,73,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-15,74,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-16,75,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-17,76,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-18,77,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-19,78,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-20,79,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-21,80,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-22,81,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-23,82,Low,Low,No,No,No,0,particles/sq cm.sec.sr
